"region","year","avgtmp","tmax","tmin","avgprecip","totalprecip","pmax","pmin","total","drought","drought_percent"
"Distrito Federal","2011",23.2000002861023,28.7000006039937,17.7333339055379,134.441671431065,1613.30005717278,372.100006103516,0,12,5,0.416666666666667
"Distrito Federal","2012",23.4583336512248,28.9583333333333,17.9916670322418,119.800002932549,1437.60003519058,325.800018310547,2.20000004768372,12,5,0.416666666666667
"Distrito Federal","2013",23.5083340009054,29.0083336830139,18.041667064031,130.866668681304,1570.40002417564,471.300018310547,0,12,4,0.333333333333333
"Distrito Federal","2014",23.5916670163472,29.0916670163472,18.1250004768372,124.150001823902,1489.80002188683,361,0,12,5,0.416666666666667
"Distrito Federal","2015",23.966667175293,29.4666670163472,18.5000004768372,98.341665973266,1180.09999167919,292.899993896484,0,12,5,0.416666666666667
"Distrito Federal","2016",24.2083338101705,29.7083338101705,18.741666952769,99.2000030825536,1190.40003699064,444.700012207031,0,12,6,0.5
"Distrito Federal","2017",23.8583337465922,29.358333269755,18.3916671276093,103.925002098083,1247.100025177,283.5,0,12,5,0.416666666666667
"Espírito Santo","1991",23.4138893286387,28.7333337465922,18.1513891882367,92.4013899829653,0,240.400009155273,11.3000001907349,72,18,0.25
"Espírito Santo","1992",23.3194447358449,28.6888893445333,18.0000003973643,124.308334297604,0,333.399993896484,10.1000003814697,72,13,0.180555555555556
"Espírito Santo","1993",23.7083337042067,29.0847226778666,18.3819448815452,76.2986128197776,0,250.300003051758,8.19999980926514,72,23,0.319444444444444
"Espírito Santo","1994",23.6291669739617,28.9916672706604,18.3208337757323,92.9055569701725,0,288.100006103516,6.70000028610229,72,24,0.333333333333333
"Espírito Santo","1995",23.7986115084754,29.1541670958201,18.5041670269436,105.82083524598,0,273,4.80000019073486,72,20,0.277777777777778
"Espírito Santo","1996",23.3125003178914,28.6402782069312,18.0333337783813,92.9638900359472,0,302.600006103516,9.69999980926514,72,22,0.305555555555556
"Espírito Santo","1997",23.6347226036919,28.9847226937612,18.3347226778666,100.316668728987,0,348.300018310547,4.80000019073486,72,23,0.319444444444444
"Espírito Santo","1998",24.1472226513757,29.4972225824992,18.8500004476971,80.6916679408815,0,293.300018310547,4.20000028610229,72,30,0.416666666666667
"Espírito Santo","1999",23.5638892915514,28.9138893021478,18.2638892067803,94.4638904995388,0,334.200012207031,13.9000005722046,72,25,0.347222222222222
"Espírito Santo","2000",23.6027782493167,28.9527782069312,18.3027782042821,110.202779372533,0,274.300018310547,8.90000057220459,72,22,0.305555555555556
"Espírito Santo","2001",24.0458337465922,29.3875004185571,18.7541669739617,98.3513900703854,0,359.5,3.70000004768372,72,19,0.263888888888889
"Espírito Santo","2002",24.4305559529199,29.7750004927317,19.1375003788206,83.6013903220495,0,251.699996948242,6,72,27,0.375
"Espírito Santo","2003",24.1513893339369,29.4958336883121,18.8569448126687,80.4944459768012,0,339.600006103516,0.100000001490116,72,30,0.416666666666667
"Espírito Santo","2004",23.7194448841943,29.0027780267927,18.4902782440186,120.03889090485,0,316.800018310547,11.6000003814697,72,22,0.305555555555556
"Espírito Santo","2005",24.0875004662408,29.437500582801,18.7875003814697,123.111113336351,0,313.200012207031,12,72,17,0.236111111111111
"Espírito Santo","2006",23.8791670799255,29.2291671964857,18.579166981909,106.801391243935,0,401.399993896484,8.5,72,23,0.319444444444444
"Espírito Santo","2007",24.1236114766863,29.4736114872826,18.8236115111245,75.2027790943782,0,203.800003051758,2.60000014305115,72,29,0.402777777777778
"Espírito Santo","2008",23.7986116144392,29.1486115455627,18.4986115164227,96.9083347519239,0,293.899993896484,5.09999990463257,72,27,0.375
"Espírito Santo","2009",24.2569448947906,29.6069447994232,18.9569448232651,113.745835476451,0,331.5,10.1000003814697,72,18,0.25
"Espírito Santo","2010",24.1305559476217,29.4805560906728,18.8305558893416,97.0291684203678,0,352.800018310547,6,72,22,0.305555555555556
"Espírito Santo","2011",23.713889280955,29.0638894240061,18.4138893021478,104.620835966534,0,346.800018310547,4.59999990463257,72,28,0.388888888888889
"Espírito Santo","2012",24.0958336459266,29.445833656523,18.7958336671193,95.1236129866706,0,350.300018310547,7.09999990463257,72,20,0.277777777777778
"Espírito Santo","2013",23.9486114184062,29.2986115084754,18.6486115058263,96.1430566708247,0,302.899993896484,10,72,25,0.347222222222222
"Espírito Santo","2014",24.1305559211307,29.480555958218,18.8305559423235,73.6444455517663,0,214.5,11.1000003814697,72,26,0.361111111111111
"Espírito Santo","2015",24.7000004980299,30.0500004026625,19.4000003072951,56.7208339240816,0,169,8.80000019073486,72,25,0.347222222222222
"Espírito Santo","2016",24.5097227096558,29.8597228527069,19.2097226513757,76.2486120329963,0,260,4.59999990463257,72,32,0.444444444444444
"Espírito Santo","2017",24.2597225242191,29.6097226672702,18.9597224791845,86.1277796427409,0,279.100006103516,10.3000001907349,72,14,0.194444444444444
"Goiás","1991",24.3530003674825,30.2810004425049,18.4766670147578,136.828502232643,82097.1013395861,415.300018310547,0,600,215,0.358333333333333
"Goiás","1992",24.1226670646667,30.0623337809245,18.2335003042221,157.880169542134,94728.1017252803,443,0,600,194,0.323333333333333
"Goiás","1993",24.4563336976369,30.4120004240672,18.5516670115789,119.04850204623,71429.101227738,378.600006103516,0,600,177,0.295
"Goiás","1994",24.5940003585815,30.5348337523142,18.7043337074916,130.267002082529,78160.2012495175,359.200012207031,0,600,218,0.363333333333333
"Goiás","1995",24.8750003846486,30.8090005016327,18.9916670306524,133.261501891389,79956.9011348337,417.5,0,600,201,0.335
"Goiás","1996",24.5850003751119,30.5041671562195,18.7158336559931,128.573002219448,77143.8013316691,363.700012207031,0.300000011920929,600,217,0.361666666666667
"Goiás","1997",24.7851670614878,30.719333782196,18.9018337217967,130.62683576302,78376.1014578119,415.200012207031,0,600,171,0.285
"Goiás","1998",25.3196670881907,31.2528338114421,19.436833691597,120.81683538124,72490.1012287438,303.600006103516,0.400000005960464,600,223,0.371666666666667
"Goiás","1999",24.9245003795624,30.8586671638489,19.0411670239766,122.30683564283,73384.1013856977,399.5,0,600,198,0.33
"Goiás","2000",24.7365003554026,30.6706671142578,18.8531670777003,136.217169359016,81730.3016154096,404.800018310547,0,600,179,0.298333333333333
"Goiás","2001",24.9268337408702,30.8561671129862,19.0488336547216,128.438669103881,77063.2014623284,335.200012207031,0.699999988079071,600,154,0.256666666666667
"Goiás","2002",25.5318337440491,31.4628338623047,19.6523336633046,128.44633569823,77067.8014189377,494.800018310547,0,600,203,0.338333333333333
"Goiás","2003",25.0971670595805,31.0313337866465,19.2138337055842,124.857835509131,74914.7013054788,423.300018310547,0,600,220,0.366666666666667
"Goiás","2004",24.9090003744761,30.8281671873728,19.0415003681183,135.005002303533,81003.00138212,480.100006103516,0,600,238,0.396666666666667
"Goiás","2005",25.2871669991811,31.2213338470459,19.4038337071737,148.800002280859,89280.0013685152,535.5,0,600,211,0.351666666666667
"Goiás","2006",25.0276670074463,30.9618337631226,19.1443336836497,133.413002360649,80047.8014163896,347.899993896484,0,600,195,0.325
"Goiás","2007",25.4863337262472,31.4205005518595,19.6030003404617,107.421502033112,64452.9012198672,389.200012207031,0,600,250,0.416666666666667
"Goiás","2008",24.9776669979095,30.9118338139852,19.094333726565,139.484003082613,83690.4018495679,415.899993896484,0,600,216,0.36
"Goiás","2009",25.0278336874644,30.9620004908244,19.1445003700256,140.08316882208,84049.9012932479,459.5,0.300000011920929,600,161,0.268333333333333
"Goiás","2010",25.3091670354207,31.2433338546753,19.4258336718877,126.101168622002,75660.7011732012,422.800018310547,0,600,231,0.385
"Goiás","2011",24.9415003712972,30.8756672159831,19.0581670268377,141.639169456884,84983.5016741306,428.5,0,600,242,0.403333333333333
"Goiás","2012",25.2106670506795,31.1448338254293,19.3273337157567,132.794669072504,79676.8014435023,469.800018310547,0,600,194,0.323333333333333
"Goiás","2013",25.1761670271556,31.1103337732951,19.2928336747487,136.791168530509,82074.7011183053,537.400024414062,0,600,200,0.333333333333333
"Goiás","2014",25.3483336893717,31.282500445048,19.4650004116694,131.994335508483,79196.6013050899,428.5,0,600,226,0.376666666666667
"Goiás","2015",25.6170003700256,31.5511671670278,19.7336670351028,115.651168644639,69390.7011867836,373.899993896484,0,600,209,0.348333333333333
"Goiás","2016",25.7396670341492,31.6738338851929,19.8563336626689,116.451501675385,69870.9010052308,561.900024414062,0,600,247,0.411666666666667
"Goiás","2017",25.5625003782908,31.4966671466827,19.6791670084,117.314835068273,70388.9010409638,338.800018310547,0,600,228,0.38
"Maranhão","1991",26.8340913358361,32.2982329262627,21.4204549644933,104.640153489838,0,542.700012207031,0,396,158,0.398989898989899
"Maranhão","1992",26.8742428066755,32.3396470329978,21.4598488422355,106.613638331775,0,659.100036621094,0,396,160,0.404040404040404
"Maranhão","1993",27.09494984752,32.5603541316408,21.6805559697777,105.19495134701,0,394.100006103516,0,396,118,0.297979797979798
"Maranhão","1994",26.6813134809937,32.1467176784169,21.266919608068,131.451517632062,0,498.300018310547,0,396,124,0.313131313131313
"Maranhão","1995",26.9760105200488,32.4414147849035,21.5616165796916,133.467174106437,0,493.800018310547,0,396,132,0.333333333333333
"Maranhão","1996",26.9184346969682,32.3838389762724,21.5040407951432,132.894446764273,0,704.799987792969,0,396,130,0.328282828282828
"Maranhão","1997",27.1075761583116,32.5729804231663,21.6931821890552,121.585860658983,0,579.5,0.100000001490116,396,151,0.381313131313131
"Maranhão","1998",27.9815660438152,33.4467178836013,22.5674246344904,107.034345404292,0,575.900024414062,0.200000002980232,396,141,0.356060606060606
"Maranhão","1999",27.2005054155986,32.665909776784,21.7861114463421,122.034093121424,0,444.600006103516,0,396,132,0.333333333333333
"Maranhão","2000",26.9431822131378,32.4085864539098,21.5287881812664,140.69949725545,0,574.400024414062,0.200000002980232,396,115,0.29040404040404
"Maranhão","2001",27.1739902977992,32.6376269128587,21.7616165816182,122.31338576916,0,499.800018310547,0.200000002980232,396,132,0.333333333333333
"Maranhão","2002",27.3787882544778,32.8429299364186,21.9654043804515,119.760860553933,0,478.800018310547,0.200000002980232,396,111,0.28030303030303
