region,year,avgtmp,tmax,tmin,avgprecip,totalprecip,pmax,pmin,total,drought,drought_percent,UF,,,,
Distrito Federal,2001,23.25833384,28.75000016,17.80833379,112.1000008,1345.20001,241.6000061,3.400000095,12,3,0.25,DF,,,,
Distrito Federal,2002,23.86666695,29.35833391,18.40833394,117.4000014,1408.800017,380.1000061,0,12,4,0.333333333,DF,,,,
Distrito Federal,2003,23.51666737,29.01666689,18.05000011,109.5500005,1314.600006,270,0,12,5,0.416666667,DF,,,,
Distrito Federal,2004,23.27500025,28.73333391,17.85000038,132.3666692,1588.40003,390.6000061,0,12,5,0.416666667,DF,,,,
Distrito Federal,2005,23.64166705,29.14166689,18.17500035,149.4500023,1793.400028,466.7000122,0,12,5,0.416666667,DF,,,,
Distrito Federal,2006,23.37500016,28.87500032,17.90833362,126.7166684,1520.60002,306.3999939,0,12,4,0.333333333,DF,,,,
Distrito Federal,2007,23.85000054,29.35000006,18.38333344,89.44166733,1073.300008,279.8999939,0,12,6,0.5,DF,,,,
Distrito Federal,2008,23.31666676,28.81666724,17.85000014,133.7500021,1605.000025,352.6000061,0,12,4,0.333333333,DF,,,,
Distrito Federal,2009,23.38333337,28.88333368,17.9166673,131.4500004,1577.400005,375,0.900000036,12,4,0.333333333,DF,,,,
Distrito Federal,2010,23.73333391,29.23333391,18.26666713,116.6750019,1400.100023,362.6000061,0,12,5,0.416666667,DF,,,,
Distrito Federal,2011,23.20000029,28.7000006,17.73333391,134.4416714,1613.300057,372.1000061,0,12,5,0.416666667,DF,,,,
Distrito Federal,2012,23.45833365,28.95833333,17.99166703,119.8000029,1437.600035,325.8000183,2.200000048,12,5,0.416666667,DF,,,,
Distrito Federal,2013,23.508334,29.00833368,18.04166706,130.8666687,1570.400024,471.3000183,0,12,4,0.333333333,DF,,,,
Distrito Federal,2014,23.59166702,29.09166702,18.12500048,124.1500018,1489.800022,361,0,12,5,0.416666667,DF,,,,
Distrito Federal,2015,23.96666718,29.46666702,18.50000048,98.34166597,1180.099992,292.8999939,0,12,5,0.416666667,DF,,,,
Distrito Federal,2016,24.20833381,29.70833381,18.74166695,99.20000308,1190.400037,444.7000122,0,12,6,0.5,DF,,,,
Distrito Federal,2017,23.85833375,29.35833327,18.39166713,103.9250021,1247.100025,283.5,0,12,5,0.416666667,DF,,,,
Espirito Santo,1991,23.41388933,28.73333375,18.15138919,92.40138998,0,240.4000092,11.30000019,72,18,0.25,ES,,,,
Espirito Santo,1992,23.31944474,28.68888934,18.0000004,124.3083343,0,333.3999939,10.10000038,72,13,0.180555556,ES,,,,
Espirito Santo,1993,23.7083337,29.08472268,18.38194488,76.29861282,0,250.3000031,8.199999809,72,23,0.319444444,ES,,,,
Espirito Santo,1994,23.62916697,28.99166727,18.32083378,92.90555697,0,288.1000061,6.700000286,72,24,0.333333333,ES,,,,
Espirito Santo,1995,23.79861151,29.1541671,18.50416703,105.8208352,0,273,4.800000191,72,20,0.277777778,ES,,,,
Espirito Santo,1996,23.31250032,28.64027821,18.03333378,92.96389004,0,302.6000061,9.699999809,72,22,0.305555556,ES,,,,
Espirito Santo,1997,23.6347226,28.98472269,18.33472268,100.3166687,0,348.3000183,4.800000191,72,23,0.319444444,ES,,,,
Espirito Santo,1998,24.14722265,29.49722258,18.85000045,80.69166794,0,293.3000183,4.200000286,72,30,0.416666667,ES,,,,
Espirito Santo,1999,23.56388929,28.9138893,18.26388921,94.4638905,0,334.2000122,13.90000057,72,25,0.347222222,ES,,,,
Espirito Santo,2000,23.60277825,28.95277821,18.3027782,110.2027794,0,274.3000183,8.900000572,72,22,0.305555556,ES,,,,
Espirito Santo,2001,24.04583375,29.38750042,18.75416697,98.35139007,0,359.5,3.700000048,72,19,0.263888889,ES,,,,
Espirito Santo,2002,24.43055595,29.77500049,19.13750038,83.60139032,0,251.6999969,6,72,27,0.375,ES,,,,
Espirito Santo,2003,24.15138933,29.49583369,18.85694481,80.49444598,0,339.6000061,0.100000001,72,30,0.416666667,ES,,,,
Espirito Santo,2004,23.71944488,29.00277803,18.49027824,120.0388909,0,316.8000183,11.60000038,72,22,0.305555556,ES,,,,
Espirito Santo,2005,24.08750047,29.43750058,18.78750038,123.1111133,0,313.2000122,12,72,17,0.236111111,ES,,,,
Espirito Santo,2006,23.87916708,29.2291672,18.57916698,106.8013912,0,401.3999939,8.5,72,23,0.319444444,ES,,,,
